X,N,b,Y
-20.000000,-4.000000,5.132741,-0.903008
-19.900000,-4.000000,5.232741,-0.998750
-19.800000,-4.000000,5.332741,-1.083204
-19.700000,-4.000000,5.432741,-1.154147
-19.600000,-4.000000,5.532741,-1.209543
-19.500000,-4.000000,5.632741,-1.247590
-19.400000,-4.000000,5.732741,-1.266768
-19.300000,-4.000000,5.832741,-1.265869
-19.200000,-4.000000,5.932741,-1.244039
-19.100000,-4.000000,6.032741,-1.200794
-19.000000,-4.000000,6.132741,-1.136045
-18.900000,-4.000000,6.232741,-1.050108
-18.800000,-3.000000,0.049556,-0.943707
-18.700000,-3.000000,0.149556,-0.817968
-18.600000,-3.000000,0.249556,-0.674412
-18.500000,-3.000000,0.349556,-0.514926
-18.400000,-3.000000,0.449556,-0.341743
-18.300000,-3.000000,0.549556,-0.157401
-18.200000,-3.000000,0.649556,0.035293
-18.100000,-3.000000,0.749556,0.233316
-18.000000,-3.000000,0.849556,0.433477
-17.900000,-3.000000,0.949556,0.632473
-17.800000,-3.000000,1.049556,0.826953
-17.700000,-3.000000,1.149556,1.013571
-17.600000,-3.000000,1.249556,1.189055
-17.500000,-3.000000,1.349556,1.350262
-17.400000,-3.000000,1.449556,1.494240
-17.300000,-3.000000,1.549556,1.618286
-17.200000,-3.000000,1.649556,1.719992
-17.100000,-3.000000,1.749556,1.797300
-17.000000,-3.000000,1.849556,1.848538
-16.900000,-3.000000,1.949556,1.872456
-16.800000,-3.000000,2.049556,1.868256
-16.700000,-3.000000,2.149556,1.835606
-16.600000,-3.000000,2.249556,1.774656
-16.500000,-3.000000,2.349556,1.686036
-16.400000,-3.000000,2.449556,1.570852
-16.300000,-3.000000,2.549556,1.430668
-16.200000,-3.000000,2.649556,1.267485
-16.100000,-3.000000,2.749556,1.083707
-16.000000,-3.000000,2.849556,0.882102
-15.900000,-3.000000,2.949556,0.665756
-15.800000,-3.000000,3.049556,0.438021
-15.700000,-3.000000,3.149556,0.202457
-15.600000,-3.000000,3.249556,-0.037229
-15.500000,-3.000000,3.349556,-0.277247
-15.400000,-3.000000,3.449556,-0.513788
-15.300000,-3.000000,3.549556,-0.743094
-15.200000,-3.000000,3.649556,-0.961520
-15.100000,-3.000000,3.749556,-1.165600
-15.000000,-3.000000,3.849556,-1.352105
-14.900000,-3.000000,3.949556,-1.518099
-14.800000,-3.000000,4.049556,-1.660992
-14.700000,-3.000000,4.149556,-1.778584
-14.600000,-3.000000,4.249556,-1.869100
-14.500000,-3.000000,4.349556,-1.931221
-14.400000,-3.000000,4.449556,-1.964108
-14.300000,-3.000000,4.549556,-1.967411
-14.200000,-3.000000,4.649556,-1.941274
-14.100000,-3.000000,4.749556,-1.886332
-14.000000,-3.000000,4.849556,-1.803693
-13.900000,-3.000000,4.949556,-1.694923
-13.800000,-3.000000,5.049556,-1.562006
-13.700000,-3.000000,5.149556,-1.407315
-13.600000,-3.000000,5.249556,-1.233561
-13.500000,-3.000000,5.349556,-1.043747
-13.400000,-3.000000,5.449556,-0.841111
-13.300000,-3.000000,5.549556,-0.629065
-13.200000,-3.000000,5.649556,-0.411139
-13.100000,-3.000000,5.749556,-0.190909
-13.000000,-3.000000,5.849556,0.028059
-12.900000,-3.000000,5.949556,0.242275
-12.800000,-3.000000,6.049556,0.448387
-12.700000,-3.000000,6.149556,0.643237
-12.600000,-3.000000,6.249556,0.823915
-12.500000,-2.000000,0.066371,0.987807
-12.400000,-2.000000,0.166371,1.132637
-12.300000,-2.000000,0.266371,1.256504
-12.200000,-2.000000,0.366371,1.357908
-12.100000,-2.000000,0.466371,1.435773
-12.000000,-2.000000,0.566371,1.489455
-11.900000,-2.000000,0.666371,1.518750
-11.800000,-2.000000,0.766371,1.523887
-11.700000,-2.000000,0.866371,1.505515
-11.600000,-2.000000,0.966371,1.464683
